Launch Date and Time (UTC),Launch Site (Abbrv.),Latitude,Longitude,Launch Vehicle,Official Payload Name,Success,Launch Site (Full)
2026 JUN 08 1013,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-35,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 07 0424,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-43,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 05 0634,WSLC,19.597275,110.930753,Long March 8,SpaceSail Polar Group #12,S,"Commercial LC-1 / Wenchang Space Launch Site, People's Republic of China"
2026 JUN 04 1139,TSLC,38.8583,111.5802,Long March 6A,SpaceSail Polar Group #11,S,"Launch Complex 9A / Taiyuan Satellite Launch Center, People's Republic of China"
2026 JUN 04 1026,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-43,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 JUN 03 1540,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-47,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 JUN 01 0840,JSLC,40.891596,100.217289,Long March 12B,Demo Flight (SpaceSail Polar Group #10),S,"Long March 12 series Pad / Jiuquan Satellite Launch Center, People's Republic of China"
2026 MAY 30 1807,XSLC,28.247059,102.029008,Long March 2D,4 x SatNet test satellites,S,"Launch Complex 3 (LC-3/LA-1) / Xichang Satellite Launch Center, People's Republic of China"
2026 MAY 30 1525,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-41,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 29 2353,CCSFS,28.58341025,-80.58303644,Atlas V 551,Amazon Leo (LA-07),S,"Space Launch Complex 41 / Cape Canaveral SFS, FL, USA"
2026 MAY 29 1257,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-53,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 MAY 26 1616,WSLC,19.618452,110.955356,Long March 7A,TJSW-24,S,"201 / Wenchang Space Launch Site, People's Republic of China"
2026 MAY 26 1450,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-37,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 25 1148,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-47,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 MAY 24 1508,JSLC,40.957893,100.290944,Long March 2F/G,Shenzhou 23,S,"Launch Area 91 (SLS-1 / 921) / Jiuquan Satellite Launch Center, People's Republic of China"
2026 MAY 22 2230,Starbase,25.99677,-97.15799,Starship V3,Starship | Flight 12,S,"Orbital Launch Pad 2 / SpaceX Starbase, TX, USA"
2026 MAY 22 0933,LC-1,-39.262833,177.864469,Electron,Viva La StriX (StriX Launch 9),S,"Rocket Lab Launch Complex 1B / Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand"
2026 MAY 21 1004,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-31,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 MAY 20 0246,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-42,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 19 0352,CSG,5.236,-52.775,Vega-C,Solar wind Magnetosphere Ionosphere Link Explorer (SMILE),S,"Ariane Launch Area 1 (ELV) / Guiana Space Centre, French Guiana"
2026 MAY 17 1442,WSLC,19.597275,110.930753,Long March 8,SpaceSail Polar Group #9,S,"Commercial LC-1 / Wenchang Space Launch Site, People's Republic of China"
2026 MAY 15 2205,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Dragon CRS-2 SpX-34,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 MAY 15 0433,JSLC,40.8182,100.22514,Kinetica 1,5 satellites,S,"Launch Area 130 / Jiuquan Satellite Launch Center, People's Republic of China"
2026 MAY 14 0300,JSLC,40.91491,100.245488,Zhuque-2E Block 2,Mass Simulator,S,"Launch Area 96A / Jiuquan Satellite Launch Center, People's Republic of China"
2026 MAY 12 1159,TSLC,38.8583,111.5802,Long March 6A,SpaceSail Polar Group #8,S,"Launch Complex 9A / Taiyuan Satellite Launch Center, People's Republic of China"
2026 MAY 12 0213,VSFB,34.632,-120.611,Falcon 9 Block 5,NROL-172,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 11 0014,WSLC,19.618452,110.955356,Long March 7,Tianzhou-10,S,"201 / Wenchang Space Launch Site, People's Republic of China"
2026 MAY 06 0359,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-29,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 03 0700,VSFB,34.632,-120.611,Falcon 9 Block 5,CAS500-2 & Others,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 MAY 01 1806,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-38,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 30 1800,Baikonur,45.943492,63.653014,Soyuz-5,Demo Flight,S,"45/1 / Baikonur Cosmodrome, Republic of Kazakhstan"
2026 APR 30 0857,CSG,5.256319,-52.786838,Ariane 64,Amazon Leo (LE-02),S,"Ariane Launch Area 4 / Guiana Space Centre, French Guiana"
2026 APR 30 0242,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-36,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 29 1413,KSC,28.60822681,-80.60428186,Falcon Heavy,ViaSat-3 F3 (ViaSat-3 Asia-Pacific),S,"Launch Complex 39A / Kennedy Space Center, FL, USA"
2026 APR 28 0053,CCSFS,28.58341025,-80.58303644,Atlas V 551,Amazon Leo (LA-06),S,"Space Launch Complex 41 / Cape Canaveral SFS, FL, USA"
2026 APR 26 1437,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-16,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 25 2221,Baikonur,45.996034,63.564003,Soyuz 2.1a,Progress MS-34 (95P),S,"31/6 / Baikonur Cosmodrome, Republic of Kazakhstan"
2026 APR 25 1215,TSLC,38.868222,111.58024,Long March 6,PRSC-EO3,S,"Launch Complex 16 / Taiyuan Satellite Launch Center, People's Republic of China"
2026 APR 24 0635,XSLC,28.247059,102.029008,Long March 2D,4 x SatNet test satellites,S,"Launch Complex 3 (LC-3/LA-1) / Xichang Satellite Launch Center, People's Republic of China"
2026 APR 23 0829,Plesetsk,62.927319,40.574897,Angara 1.2,Kosmos (Unknown Payload),S,"35/1 / Plesetsk Cosmodrome, Russian Federation"
2026 APR 23 0323,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-14,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 23 0309,LC-1,-39.262833,177.864469,Electron,Kakushin Rising (JAXA Rideshare),S,"Rocket Lab Launch Complex 1A / Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand"
2026 APR 22 0136,WFF,37.833262,-75.488235,Electron,HASTE | Bubbles,S,"Rocket Lab Launch Complex 2 (Launch Area 0 C) / Wallops Flight Facility, Virginia, USA"
2026 APR 21 0653,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,GPS III SV10,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 19 1603,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-22,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 19 1125,CCSFS,28.4705556,-80.542194,New Glenn,BlueBird Block 2 #2,F,"Launch Complex 36A / Cape Canaveral SFS, FL, USA"
2026 APR 17 0410,JSLC,40.960482,100.298059,Long March 4C,Daqi-2 (AEMS),S,"Launch Area 94 (SLS-2 / 603) / Jiuquan Satellite Launch Center, People's Republic of China"
2026 APR 16 2317,Plesetsk,62.92883,40.457098,Soyuz 2.1b Volga,Soyuz 2.1b/Volga | Kosmos (Unknown Payload),S,"43/4 (43R) / Plesetsk Cosmodrome, Russian Federation"
2026 APR 15 0429,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-27,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 14 0933,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Starlink Group 10-24,S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 14 0403,JSLC,40.8182,100.22514,Kinetica 1,8 x Jilin-1,S,"Launch Area 130 / Jiuquan Satellite Launch Center, People's Republic of China"
2026 APR 11 1141,CCSFS,28.56194122,-80.57735736,Falcon 9 Block 5,Cygnus CRS-2 NG-24 (S.S. Steven R. Nagel),S,"Space Launch Complex 40 / Cape Canaveral SFS, FL, USA"
2026 APR 11 1132,YSLA,21.366667,112.116667,Smart Dragon 3,SatNet test satellite,S,South China Sea (launch location 3) / Haiyang Oriental Spaceport
2026 APR 11 0504,VSFB,34.632,-120.611,Falcon 9 Block 5,Starlink Group 17-21,S,"Space Launch Complex 4E / Vandenberg SFB, CA, USA"
2026 APR 08 1938,TSLC,38.8583,111.5802,Long March 6A,SatNet LEO Group 21,S,"Launch Complex 9A / Taiyuan Satellite Launch Center, People's Republic of China"
2026 APR 07 1332,WSLC,19.597275,110.930753,Long March 8,SpaceSail Polar Group #7,S,"Commercial LC-1 / Wenchang Space Launch Site, People's Republic of China"
